Name,Rating,Review_count,Category,Sub_Category,Address,Latitude,Longitude
Adyar Ananda Bhavan - A2B,3.9,10911,South Indian Breakfast,Veg restaurant,"1871, 1st Cross Rd",12.8391781,77.6506555
Adyar Ananda Bhavan - A2B,4.1,19569,South Indian Breakfast,Veg restaurant,"No.154, 10, Bannerghatta Main Rd",12.8932102,77.5987583
Adyar Ananda Bhavan - A2B,3.7,4482,South Indian Breakfast,Veg restaurant,"BPCL. Petrol Bunk #344, 7th Block, 80 Feet Road, Hosur Rd",12.9357762,77.6148605
Adyar Ananda Bhavan - A2B,3.8,11548,South Indian Breakfast,Veg restaurant,"12, Chinmaya Mission Hospital Rd",12.9781217,77.6393841
Adyar Ananda Bhavan - A2B,3.9,7968,South Indian Breakfast,Veg restaurant,"M.P SOUTH, 03, 100FT ROAD, B.B, 16th Main Rd",12.9168484,77.6095237
Adyar Ananda Bhavan - A2B,4.1,15,South Indian Breakfast,Veg restaurant,Campus 8A,12.9197552,77.6844781
Adyar Ananda Bhavan - A2B,3.8,19816,South Indian Breakfast,Veg restaurant,"254B, Hosur Rd",12.8075017,77.6977708
Adyar Ananda Bhavan - A2B,3.8,5660,South Indian Breakfast,Veg restaurant,"BDA Complex, 27, 14th Main Rd, near A2B Restaurant",12.9137064,77.6372964
Adyar Ananda Bhavan - A2B,3.8,8178,South Indian Breakfast,Veg restaurant,"NO 135, SITUATED AT MUNNEKOLALA HAL MAIN ROAD, VARTHUR HOBLI MARATHALLI, MAHADEVAPURA, B.B.M.P EAST",12.9566476,77.7021718
Adyar Ananda Bhavan - A2B,3.9,7609,South Indian Breakfast,Veg restaurant,BTS Main Rd,12.9543716,77.5932021
Adyar Ananda Bhavan - A2B,3.7,13400,South Indian Breakfast,Veg restaurant,"70, Kanakapura Rd",12.8837595,77.5486681
Adyar Ananda Bhavan - A2B,3.7,3209,South Indian Breakfast,Veg restaurant,near to HDFC bank,12.9878389,77.6184701
Adyar Ananda Bhavan - A2B,3.6,4559,South Indian Breakfast,Veg restaurant,"57, 6th Cross, Sampige Rd",12.9976139,77.5711225
Adyar Ananda Bhavan - A2B,3.9,927,South Indian Breakfast,Veg restaurant,,12.9280834,77.6923732
Adyar Ananda Bhavan - A2B,4.2,1658,South Indian Breakfast,Veg restaurant,"GROUND FLOOR, NO 28/29 RR MANSION, Sarjapur - Marathahalli Rd",12.9189908,77.6709235
Adyar Ananda Bhavan - A2B,4.2,314,South Indian Breakfast,Veg restaurant,VHVP+89Q Bank of Baroda Colony 6th Main Road Bon colony,12.8933379,77.585989
Adyar Ananda Bhavan - A2B,4.1,13329,South Indian Breakfast,Veg restaurant,"Bus Stand, Old Mysore Road Satellite, 41, Mysore Rd",12.9537996,77.5438053
Adyar Ananda Bhavan - A2B,3.6,3262,South Indian Breakfast,Veg restaurant,"746/18, 60th Cross Rd",12.984303,77.553928
Adyar Ananda Bhavan - A2B,3.8,1776,South Indian Breakfast,Veg restaurant,"200, Gandhi Bazaar Main Rd",12.944238,77.5729122
Adyar Ananda Bhavan - A2B,3.8,5363,South Indian Breakfast,Veg restaurant,"No 34, Bellarmin Road",13.0227376,77.5848031
Adyar Ananda Bhavan - A2B,4.3,16,South Indian Breakfast,Veg restaurant,"Carmelaram Post, 53/1, Sarjapur Main Rd",12.9090815,77.6876561
Adyar Ananda Bhavan - A2B,4,32,South Indian Breakfast,Veg restaurant,"78, 5",12.9263517,77.6803588
Adyar Ananda Bhavan - A2B,4.1,306,South Indian Breakfast,Veg restaurant,"Shop No 626, 3rd Main Road, Cherry Ln",12.9274238,77.6717344
Adyar Ananda Bhavan - A2B,3.9,9000,South Indian Breakfast,Veg restaurant,"Shop No 141, Thanisandra Main Rd, near Nagawara Main Road",13.0412389,77.6245649
Adyar Ananda Bhavan - A2B,4,6045,South Indian Breakfast,Veg restaurant,"NO.128, 2, Thambu Chetty Palya Main Rd",13.0194462,77.6737931
Adyar Ananda Bhavan - A2B,3.8,6477,South Indian Breakfast,Veg restaurant,"421, Second Street, 4th Cross Rd",13.0183787,77.6364521
Adyar Ananda Bhavan - A2B,3.7,7558,South Indian Breakfast,Veg restaurant,"NO. 11/21A/31 WARD NO. 19, NEAR BHADRAPPA LAYOUT Village, Outer Ring Rd",13.0478844,77.5784847
